,school,sex,age,address,Mjob,Fjob,guardian,traveltime,studytime,paid,nursery,internet,absences,G1,G2,G3,G3_pred
320,GP,M,15.0,U,other,other,mother,1.0,3.0,yes,no,yes,4.0,11.0,10.0,B,B
97,GP,F,15.0,U,services,other,mother,1.0,2.0,yes,yes,yes,10.0,7.0,6.0,D,C
85,GP,M,15.0,U,services,services,mother,2.0,2.0,yes,yes,yes,4.0,15.0,15.0,A,C
252,GP,F,15.0,U,other,other,father,1.0,2.0,no,no,yes,2.0,9.0,10.0,C,C
353,GP,F,15.0,U,services,services,father,2.0,2.0,yes,yes,yes,6.0,7.0,9.0,C,D
391,GP,F,16.0,U,at_home,other,mother,1.0,2.0,no,yes,no,4.0,8.0,7.0,D,A
386,GP,F,15.0,U,other,other,mother,1.0,3.0,no,yes,yes,4.0,13.0,14.0,A,D
220,GP,M,16.0,U,services,other,father,2.0,2.0,yes,no,yes,12.0,11.0,10.0,C,D
199,GP,M,16.0,U,teacher,health,mother,1.0,2.0,no,yes,no,18.0,8.0,6.0,D,C
108,,,,,,,,,,,,,,,,,B
46,GP,F,15.0,U,services,other,mother,1.0,1.0,yes,yes,yes,4.0,16.0,17.0,A,B
316,GP,F,16.0,U,other,other,father,1.0,2.0,no,yes,no,4.0,7.0,6.0,D,D
217,GP,F,16.0,U,teacher,services,mother,2.0,2.0,yes,yes,yes,0.0,11.0,10.0,C,C
214,GP,M,15.0,U,services,health,mother,1.0,4.0,no,yes,yes,6.0,11.0,13.0,A,C
73,GP,F,15.0,R,at_home,other,mother,2.0,4.0,yes,yes,yes,2.0,7.0,10.0,C,B
137,GP,M,16.0,R,services,other,mother,2.0,1.0,no,no,yes,2.0,11.0,15.0,A,D
376,GP,F,16.0,U,other,other,mother,1.0,2.0,yes,yes,no,2.0,8.0,9.0,C,A
198,GP,F,16.0,U,other,other,mother,1.0,1.0,no,no,yes,6.0,11.0,14.0,A,A
200,GP,F,16.0,U,other,at_home,mother,1.0,3.0,yes,yes,yes,0.0,7.0,9.0,C,A
29,,,,,,,,,,,,,,,,,B
284,GP,M,16.0,U,services,teacher,father,1.0,3.0,no,yes,yes,0.0,16.0,17.0,A,B
327,,,,,,,,,,,,,,,,,C
51,GP,F,15.0,U,services,other,mother,2.0,2.0,yes,yes,yes,26.0,7.0,6.0,D,A
390,GP,M,15.0,U,services,other,mother,1.0,2.0,yes,yes,yes,0.0,16.0,18.0,A,C
347,GP,F,15.0,U,other,health,father,1.0,4.0,no,yes,no,10.0,10.0,11.0,B,C
27,,,,,,,,,,,,,,,,,A
2,,,,,,,,,,,,,,,,,C
210,GP,M,15.0,R,other,other,father,4.0,4.0,yes,yes,yes,6.0,10.0,13.0,B,C
156,GP,F,16.0,U,health,health,mother,1.0,3.0,yes,yes,yes,4.0,14.0,15.0,A,B
349,GP,M,15.0,U,teacher,teacher,mother,1.0,1.0,no,yes,yes,6.0,18.0,19.0,A,B
371,GP,F,16.0,R,services,other,father,1.0,3.0,no,yes,yes,0.0,7.0,10.0,C,C
385,GP,F,16.0,U,at_home,other,mother,1.0,2.0,no,yes,yes,6.0,10.0,13.0,B,C
138,,,,,,,,,,,,,,,,,A
225,GP,M,15.0,R,health,services,mother,1.0,2.0,no,yes,yes,8.0,9.0,9.0,C,D
283,GP,M,16.0,U,teacher,teacher,father,1.0,2.0,no,yes,yes,2.0,15.0,15.0,A,D
281,GP,M,15.0,U,other,teacher,father,2.0,2.0,no,yes,no,2.0,11.0,13.0,A,C
274,GP,M,16.0,U,other,services,father,2.0,1.0,no,yes,yes,0.0,13.0,14.0,B,C
228,GP,M,17.0,R,other,other,father,3.0,2.0,no,yes,yes,20.0,9.0,7.0,C,C
35,GP,M,15.0,U,other,other,father,1.0,1.0,no,yes,yes,6.0,14.0,13.0,B,D
261,GP,F,15.0,U,at_home,services,mother,1.0,2.0,no,no,yes,2.0,16.0,15.0,A,C
254,GP,M,15.0,U,services,services,father,1.0,4.0,yes,yes,yes,6.0,16.0,14.0,A,B
24,GP,F,16.0,U,other,health,father,2.0,2.0,yes,yes,yes,2.0,13.0,13.0,B,B
263,GP,M,16.0,U,health,other,mother,1.0,1.0,no,yes,yes,18.0,14.0,11.0,B,B
44,GP,F,16.0,U,other,other,mother,1.0,2.0,yes,yes,yes,0.0,8.0,7.0,C,C
230,GP,M,15.0,U,services,services,father,1.0,1.0,no,yes,yes,0.0,13.0,13.0,B,A
129,GP,F,15.0,U,other,other,mother,1.0,2.0,no,yes,yes,0.0,7.0,10.0,B,A
93,GP,F,19.0,U,at_home,other,other,1.0,2.0,no,no,no,2.0,7.0,8.0,C,C
111,GP,M,18.0,R,services,other,mother,1.0,1.0,no,yes,yes,0.0,7.0,4.0,D,D
166,GP,M,16.0,R,teacher,teacher,mother,1.0,1.0,yes,yes,yes,8.0,18.0,18.0,A,C
372,GP,F,15.0,R,services,teacher,father,2.0,3.0,no,yes,yes,0.0,12.0,0.0,D,B
310,GP,F,15.0,U,at_home,other,mother,3.0,1.0,no,no,yes,0.0,8.0,0.0,D,D
269,,,,,,,,,,,,,,,,,D
40,GP,F,16.0,U,services,other,father,1.0,1.0,no,yes,yes,16.0,12.0,11.0,B,C
18,GP,M,15.0,R,at_home,teacher,mother,4.0,2.0,no,yes,no,0.0,9.0,0.0,D,D
280,,,,,,,,,,,,,,,,,C
79,GP,M,17.0,R,at_home,other,mother,3.0,2.0,no,yes,no,0.0,10.0,0.0,D,D
238,GP,F,16.0,U,other,other,other,2.0,1.0,no,no,yes,0.0,4.0,0.0,D,B
240,GP,M,16.0,U,services,other,mother,1.0,2.0,no,yes,no,0.0,14.0,12.0,B,B
71,GP,F,15.0,U,teacher,teacher,mother,2.0,1.0,no,yes,yes,0.0,16.0,16.0,A,B
13,,,,,,,,,,,,,,,,,C
369,GP,M,16.0,U,services,services,father,2.0,1.0,no,yes,yes,8.0,9.0,9.0,C,B
213,,,,,,,,,,,,,,,,,C
380,GP,F,16.0,U,at_home,at_home,mother,1.0,1.0,no,yes,yes,2.0,14.0,14.0,B,A
231,,,,,,,,,,,,,,,,,B
160,GP,F,15.0,U,other,services,father,1.0,2.0,yes,yes,yes,0.0,8.0,11.0,B,D
104,,,,,,,,,,,,,,,,,A
161,GP,F,15.0,U,at_home,other,mother,1.0,2.0,yes,no,yes,2.0,10.0,11.0,B,D
83,GP,M,16.0,U,teacher,teacher,mother,1.0,1.0,no,yes,yes,0.0,7.0,6.0,D,A
189,GP,M,15.0,U,services,other,mother,4.0,1.0,no,yes,yes,0.0,8.0,9.0,C,D
392,,,,,,,,,,,,,,,,,D
118,GP,M,16.0,U,at_home,other,mother,1.0,1.0,no,yes,no,6.0,12.0,13.0,A,D
387,GP,F,15.0,R,services,services,other,2.0,3.0,yes,yes,yes,8.0,10.0,10.0,C,D
188,,,,,,,,,,,,,,,,,D
208,GP,F,17.0,U,other,teacher,mother,1.0,1.0,no,yes,no,0.0,11.0,11.0,B,C
370,GP,M,15.0,R,at_home,services,mother,1.0,2.0,yes,yes,no,2.0,11.0,8.0,C,C
110,GP,M,17.0,R,other,other,mother,1.0,1.0,no,yes,no,8.0,16.0,12.0,B,A
149,GP,F,18.0,R,at_home,other,mother,3.0,1.0,no,no,no,6.0,9.0,8.0,C,C
157,,,,,,,,,,,,,,,,,D
152,GP,M,16.0,U,other,services,father,1.0,2.0,yes,yes,yes,4.0,10.0,12.0,B,C
16,GP,M,17.0,R,at_home,other,mother,2.0,1.0,no,yes,yes,0.0,7.0,6.0,D,A
354,GP,M,15.0,R,other,other,mother,2.0,2.0,no,yes,yes,6.0,5.0,9.0,D,B
75,GP,M,16.0,U,other,other,mother,2.0,1.0,no,yes,no,0.0,7.0,0.0,D,C
109,GP,M,17.0,U,at_home,services,father,1.0,1.0,no,yes,yes,2.0,10.0,10.0,C,A
322,,,,,,,,,,,,,,,,,B
205,GP,M,16.0,U,services,services,mother,2.0,1.0,no,no,no,16.0,12.0,11.0,B,C
275,GP,M,16.0,U,other,other,father,1.0,2.0,no,yes,yes,4.0,10.0,10.0,C,B
139,,,,,,,,,,,,,,,,,A
237,,,,,,,,,,,,,,,,,B
388,GP,F,16.0,U,health,health,mother,1.0,2.0,yes,yes,yes,0.0,14.0,14.0,A,C
4,GP,M,16.0,U,other,other,father,3.0,1.0,no,no,yes,0.0,6.0,5.0,D,C
96,,,,,,,,,,,,,,,,,B
14,GP,M,17.0,U,teacher,other,mother,1.0,2.0,yes,yes,yes,0.0,13.0,11.0,C,A
61,GP,F,16.0,U,at_home,services,mother,1.0,2.0,no,no,yes,0.0,8.0,7.0,D,C
236,GP,F,16.0,U,other,other,mother,2.0,2.0,yes,yes,yes,4.0,10.0,11.0,C,A
67,GP,M,17.0,U,teacher,other,mother,2.0,2.0,yes,yes,yes,4.0,10.0,9.0,C,D
315,GP,F,16.0,U,services,other,mother,2.0,2.0,yes,no,yes,2.0,13.0,13.0,B,B
248,GP,M,17.0,U,other,other,father,1.0,2.0,no,no,yes,4.0,6.0,5.0,D,D
304,GP,M,16.0,R,teacher,services,mother,1.0,1.0,no,yes,yes,10.0,10.0,8.0,C,B
19,GP,M,17.0,U,other,other,mother,1.0,2.0,no,yes,yes,4.0,10.0,10.0,B,C
226,GP,M,16.0,U,teacher,other,mother,1.0,2.0,yes,yes,yes,10.0,9.0,8.0,C,A
302,GP,M,16.0,U,services,other,mother,1.0,2.0,yes,yes,yes,2.0,12.0,13.0,B,A
3,GP,F,17.0,U,services,services,father,1.0,2.0,no,yes,no,0.0,16.0,17.0,A,A
272,GP,F,17.0,U,other,other,mother,1.0,2.0,no,yes,yes,56.0,9.0,9.0,C,B
125,GP,F,16.0,U,other,other,mother,1.0,2.0,yes,yes,yes,14.0,12.0,13.0,B,B
77,GP,M,17.0,U,services,services,mother,1.0,2.0,no,yes,yes,12.0,12.0,12.0,B,B
184,GP,M,16.0,U,services,services,mother,1.0,1.0,yes,yes,yes,2.0,11.0,12.0,B,B
297,GP,M,16.0,U,other,other,mother,1.0,2.0,yes,yes,yes,0.0,15.0,15.0,A,C
374,GP,F,17.0,U,health,other,mother,1.0,2.0,no,no,yes,6.0,8.0,7.0,C,A
341,GP,M,17.0,R,at_home,other,mother,1.0,2.0,no,yes,no,4.0,8.0,9.0,C,C
182,,,,,,,,,,,,,,,,,A
351,GP,F,17.0,U,at_home,services,mother,1.0,2.0,no,yes,yes,0.0,8.0,8.0,C,B
80,GP,M,17.0,U,at_home,services,other,2.0,2.0,yes,no,yes,12.0,7.0,8.0,C,B
258,GP,M,16.0,R,services,services,mother,1.0,1.0,no,yes,yes,8.0,8.0,9.0,C,A
11,,,,,,,,,,,,,,,,,B
294,GP,F,17.0,U,services,services,father,1.0,2.0,no,yes,yes,0.0,14.0,15.0,A,A
86,GP,M,17.0,U,services,teacher,mother,1.0,1.0,no,yes,yes,4.0,17.0,15.0,A,D
266,GP,M,16.0,R,teacher,other,father,3.0,1.0,yes,yes,yes,8.0,9.0,9.0,C,C
36,GP,F,17.0,U,services,teacher,mother,2.0,1.0,no,yes,yes,24.0,18.0,18.0,A,A
377,GP,F,16.0,U,teacher,teacher,mother,1.0,2.0,yes,yes,yes,0.0,9.0,9.0,C,C
58,GP,F,16.0,U,health,other,mother,1.0,2.0,no,yes,yes,2.0,16.0,16.0,A,C
41,GP,F,16.0,U,other,other,mother,1.0,2.0,yes,yes,no,6.0,8.0,10.0,C,B
270,GP,F,17.0,U,other,other,mother,1.0,2.0,yes,no,no,4.0,9.0,9.0,C,C
50,GP,F,17.0,R,other,other,mother,1.0,1.0,no,yes,yes,18.0,7.0,6.0,D,B
209,,,,,,,,,,,,,,,,,D
313,GP,F,17.0,U,at_home,services,mother,1.0,3.0,yes,yes,yes,28.0,10.0,9.0,C,B
312,GP,F,16.0,U,services,other,mother,1.0,2.0,yes,yes,yes,5.0,7.0,7.0,D,B
326,GP,F,16.0,U,teacher,other,mother,1.0,2.0,yes,yes,yes,10.0,11.0,12.0,B,A
123,GP,F,16.0,U,at_home,other,mother,2.0,1.0,yes,yes,no,6.0,9.0,9.0,C,B
222,GP,F,17.0,R,teacher,other,mother,2.0,3.0,yes,yes,yes,6.0,7.0,7.0,D,A
62,GP,F,19.0,U,other,other,other,1.0,4.0,yes,yes,yes,10.0,8.0,8.0,C,C
298,GP,M,17.0,U,services,other,mother,1.0,2.0,yes,yes,yes,13.0,12.0,12.0,B,A
130,,,,,,,,,,,,,,,,,D
187,GP,M,18.0,U,services,other,mother,1.0,2.0,yes,yes,yes,15.0,6.0,7.0,C,A
23,GP,F,17.0,R,services,other,mother,1.0,1.0,yes,yes,no,12.0,8.0,10.0,C,A
43,,,,,,,,,,,,,,,,,C
0,,,,,,,,,,,,,,,,,D
201,GP,M,18.0,U,services,health,father,1.0,2.0,yes,yes,yes,13.0,6.0,6.0,C,C
334,GP,F,17.0,U,at_home,other,father,2.0,1.0,yes,yes,no,3.0,7.0,7.0,C,D
98,GP,F,17.0,U,at_home,at_home,mother,1.0,3.0,yes,yes,yes,4.0,9.0,10.0,C,A
382,GP,F,17.0,R,at_home,services,mother,2.0,2.0,no,yes,yes,2.0,6.0,6.0,D,C
178,GP,F,17.0,U,at_home,other,mother,1.0,3.0,no,yes,no,0.0,6.0,5.0,D,C
256,GP,F,16.0,U,services,teacher,mother,1.0,2.0,no,yes,yes,2.0,16.0,16.0,A,A
94,,,,,,,,,,,,,,,,,A
364,GP,F,16.0,U,teacher,services,mother,1.0,3.0,no,no,yes,0.0,13.0,13.0,A,B
95,GP,F,18.0,R,other,other,mother,1.0,2.0,no,yes,yes,16.0,9.0,8.0,D,C
346,GP,F,17.0,U,other,other,mother,1.0,2.0,no,no,yes,10.0,16.0,15.0,A,A
169,GP,M,17.0,U,services,services,father,1.0,2.0,yes,no,yes,2.0,12.0,11.0,B,A
69,GP,M,18.0,U,at_home,other,mother,4.0,2.0,yes,yes,yes,14.0,10.0,8.0,C,A
305,GP,F,17.0,U,other,other,mother,2.0,3.0,no,yes,yes,10.0,12.0,10.0,B,B
48,GP,F,17.0,U,health,other,father,1.0,2.0,no,yes,yes,14.0,13.0,13.0,A,A
207,GP,M,17.0,R,other,other,father,2.0,2.0,yes,yes,yes,4.0,11.0,11.0,B,B
279,,,,,,,,,,,,,,,,,C
227,,,,,,,,,,,,,,,,,B
148,GP,M,16.0,U,other,other,mother,2.0,2.0,yes,yes,yes,18.0,9.0,7.0,D,D
143,,,,,,,,,,,,,,,,,B
180,GP,M,17.0,U,other,other,father,1.0,2.0,yes,no,yes,4.0,14.0,13.0,B,C
131,GP,F,16.0,U,other,other,mother,1.0,1.0,no,yes,yes,20.0,13.0,12.0,B,D
352,GP,F,17.0,R,at_home,services,mother,3.0,2.0,no,yes,no,2.0,13.0,11.0,B,C
393,GP,M,18.0,U,other,services,father,1.0,2.0,no,yes,yes,0.0,7.0,7.0,D,B
262,GP,M,17.0,U,health,other,mother,2.0,2.0,no,yes,yes,14.0,12.0,12.0,B,B
203,GP,M,17.0,R,teacher,other,mother,2.0,2.0,yes,yes,yes,2.0,10.0,11.0,B,D
84,GP,M,16.0,U,teacher,other,mother,1.0,1.0,no,no,yes,0.0,6.0,0.0,D,B
121,GP,M,16.0,U,services,services,mother,1.0,1.0,no,yes,yes,0.0,13.0,12.0,B,A
340,GP,F,18.0,U,other,other,other,2.0,3.0,yes,no,yes,0.0,7.0,0.0,D,B
361,GP,M,16.0,U,other,other,mother,3.0,1.0,no,yes,yes,6.0,18.0,18.0,A,B
91,,,,,,,,,,,,,,,,,A
82,GP,M,22.0,U,services,services,mother,1.0,1.0,no,no,yes,16.0,6.0,8.0,C,D
267,GP,M,18.0,R,other,services,mother,1.0,2.0,no,yes,yes,8.0,3.0,5.0,D,C
119,,,,,,,,,,,,,,,,,A
291,GP,M,18.0,U,services,other,mother,2.0,1.0,no,yes,yes,0.0,6.0,8.0,C,A
57,GP,M,16.0,U,at_home,other,other,3.0,2.0,no,no,yes,6.0,7.0,10.0,C,A
321,GP,M,18.0,U,services,services,mother,1.0,1.0,no,no,yes,4.0,6.0,9.0,C,C
257,,,,,,,,,,,,,,,,,B
350,GP,M,17.0,R,other,other,mother,1.0,1.0,no,no,yes,0.0,8.0,12.0,B,C
42,,,,,,,,,,,,,,,,,A
105,GP,F,17.0,U,teacher,services,mother,1.0,4.0,yes,yes,yes,6.0,14.0,12.0,B,B
363,GP,M,19.0,U,services,at_home,mother,1.0,2.0,no,yes,yes,12.0,11.0,11.0,B,A
273,GP,M,18.0,U,other,other,mother,1.0,2.0,no,yes,yes,8.0,15.0,14.0,A,A
348,,,,,,,,,,,,,,,,,A
38,,,,,,,,,,,,,,,,,B
53,GP,M,18.0,U,teacher,other,mother,1.0,2.0,yes,no,yes,2.0,8.0,8.0,C,C
342,GP,M,18.0,R,other,other,mother,1.0,3.0,no,no,no,1.0,13.0,12.0,B,A
128,GP,F,17.0,U,other,other,mother,1.0,3.0,no,no,no,4.0,10.0,9.0,C,D
290,,,,,,,,,,,,,,,,,C
28,GP,M,18.0,R,other,other,mother,2.0,2.0,yes,yes,yes,13.0,17.0,17.0,A,B
183,GP,M,17.0,U,services,other,mother,1.0,2.0,yes,yes,yes,2.0,9.0,9.0,C,D
163,GP,F,18.0,R,teacher,other,mother,2.0,2.0,yes,yes,yes,8.0,12.0,10.0,B,C
151,,,,,,,,,,,,,,,,,B
244,GP,F,18.0,R,other,other,mother,2.0,2.0,no,yes,yes,0.0,6.0,0.0,D,D
202,GP,F,19.0,U,other,services,other,1.0,2.0,yes,yes,yes,15.0,9.0,9.0,C,C
31,GP,F,18.0,U,other,services,father,1.0,4.0,yes,yes,yes,4.0,15.0,14.0,A,A
32,GP,F,18.0,U,other,other,mother,2.0,2.0,yes,no,no,2.0,11.0,11.0,B,A
127,GP,M,17.0,R,at_home,at_home,mother,1.0,2.0,yes,no,no,2.0,15.0,14.0,A,D
185,GP,F,17.0,U,at_home,health,mother,2.0,2.0,yes,yes,yes,2.0,10.0,10.0,C,B
367,GP,F,17.0,U,services,other,mother,2.0,2.0,yes,yes,yes,6.0,12.0,12.0,B,D
288,,,,,,,,,,,,,,,,,A
357,GP,M,18.0,U,teacher,services,mother,2.0,1.0,yes,yes,yes,22.0,9.0,9.0,C,B
147,,,,,,,,,,,,,,,,,B
285,GP,M,18.0,U,teacher,services,mother,2.0,1.0,yes,yes,yes,8.0,10.0,11.0,C,B
365,GP,M,17.0,U,services,other,mother,2.0,1.0,yes,yes,yes,30.0,8.0,8.0,C,C
177,GP,M,17.0,U,teacher,services,mother,1.0,1.0,no,yes,yes,19.0,11.0,9.0,C,D
99,,,,,,,,,,,,,,,,,C
338,GP,F,18.0,U,other,other,mother,2.0,2.0,no,yes,yes,4.0,8.0,9.0,C,A
335,GP,F,17.0,U,other,other,mother,1.0,2.0,no,no,yes,4.0,10.0,9.0,B,A
197,GP,M,17.0,U,other,other,father,1.0,2.0,yes,no,yes,2.0,12.0,10.0,B,C
243,,,,,,,,,,,,,,,,,B
115,,,,,,,,,,,,,,,,,A
265,GP,M,18.0,U,services,services,mother,1.0,3.0,yes,yes,yes,6.0,15.0,14.0,A,A
72,,,,,,,,,,,,,,,,,D
333,GP,M,18.0,U,teacher,other,mother,1.0,2.0,yes,yes,yes,11.0,12.0,11.0,B,D
25,GP,F,17.0,U,health,services,mother,1.0,3.0,yes,yes,yes,0.0,15.0,15.0,A,C
165,GP,F,18.0,U,services,at_home,mother,1.0,2.0,no,yes,yes,12.0,12.0,12.0,B,B
337,,,,,,,,,,,,,,,,,C
379,GP,M,18.0,R,services,other,mother,2.0,3.0,yes,yes,yes,8.0,14.0,13.0,A,C
174,GP,M,17.0,U,health,other,mother,1.0,1.0,yes,yes,yes,4.0,14.0,12.0,B,C
381,GP,F,19.0,U,health,other,other,2.0,2.0,yes,yes,yes,0.0,10.0,9.0,D,D
39,GP,F,18.0,U,other,other,other,2.0,2.0,yes,yes,yes,10.0,10.0,8.0,C,B
193,GP,F,18.0,U,other,other,father,1.0,4.0,yes,yes,yes,0.0,14.0,13.0,A,C
314,GP,M,18.0,U,teacher,teacher,mother,1.0,1.0,yes,yes,yes,5.0,16.0,15.0,A,B
88,GP,F,18.0,U,health,other,mother,1.0,2.0,no,yes,yes,14.0,12.0,10.0,B,B
70,GP,M,17.0,U,other,teacher,father,2.0,1.0,yes,yes,yes,0.0,11.0,11.0,C,A
87,GP,F,17.0,U,other,other,mother,2.0,3.0,yes,yes,yes,0.0,15.0,12.0,A,A
